persons,prediction,reference,pred.score
person1,male,male,0.743488931329921
person2,female,male,0.376609210390598
person3,male,male,0.653934396104887
person4,female,female,0.368889887584373
person5,female,male,0.106963651953265
person6,male,male,0.847940717590973
person7,female,female,0.0318185589276254
person8,female,female,0.196240999968722
person9,male,female,0.710874365177006
person10,female,female,0.113008097978309
person11,male,female,0.625555092701688
person12,female,male,0.0269440372940153
person13,female,female,0.154013758059591
person14,female,male,0.166406189091504
person15,male,female,0.843890838790685
person16,male,female,0.740994391264394
person17,male,male,0.760280120652169
person18,male,male,0.928415215574205
person19,male,female,0.697885846486315
person20,male,female,0.939649654552341
person21,female,female,0.149585657985881
person22,female,female,0.177522780839354
person23,male,female,0.786805299576372
person24,male,female,0.506006894633174
person25,male,female,0.846151066478342
person26,female,male,0.28778182528913
person27,male,female,0.595154295442626
person28,male,male,0.81978837470524
person29,female,male,0.279889519559219
person30,female,female,0.181451287353411
person31,female,female,0.0520027410238981
person32,female,male,0.141606596764177
person33,male,female,0.685162676963955
person34,female,female,0.428503815550357
person35,female,female,0.0369371634442359
person36,female,female,0.129273847443983
person37,male,female,0.815196495736018
person38,male,male,0.643035623244941
person39,male,male,0.912351471371949
