persons,prediction,reference,pred.score
person1,female,male,0.446636977838352
person2,male,male,0.90906493156217
person3,female,male,0.0380003883037716
person4,male,female,0.608569739386439
person5,male,male,0.756175950635225
person6,female,male,0.434028564253822
person7,female,female,0.0427514528855681
person8,female,female,0.247298600617796
person9,male,female,0.994849343085662
person10,male,female,0.507539835758507
person11,male,female,0.759782674722373
person12,male,male,0.518776398384944
person13,female,female,0.272756960941479
person14,female,male,0.128228586865589
person15,male,female,0.583557445555925
person16,female,female,0.0471985035110265
person17,female,male,0.48550435854122
person18,male,male,0.581087777391076
person19,female,female,0.233614269178361
person20,female,female,0.0442196365911514
person21,female,female,0.357128921663389
person22,male,female,0.678938108496368
person23,male,female,0.843089623609558
person24,male,female,0.503837033174932
person25,male,female,0.613750907825306
person26,male,male,0.505625624442473
person27,female,female,0.254909426672384
person28,male,male,0.590657835127786
person29,male,male,0.934637438273057
person30,female,female,0.046042999252677
person31,female,female,0.39127214346081
person32,female,male,0.158030881313607
person33,female,female,0.110263518290594
person34,female,female,0.251983676571399
person35,male,female,0.720100308069959
person36,male,female,0.771603499772027
person37,female,female,0.153926017927006
person38,male,male,0.941526391310617
person39,female,male,0.32806378044188
