persons,prediction,reference,pred.score
person1,male,male,0.556286106351763
person2,male,male,0.711544148158282
person3,female,male,0.197341127321124
person4,female,female,0.110801177099347
person5,female,male,0.118511674460024
person6,male,male,0.754110569600016
person7,male,female,0.901030815439299
person8,female,female,0.053159527014941
person9,male,female,0.515324907144532
person10,male,female,0.876105086645111
person11,female,female,0.362773402826861
person12,female,male,0.423703809734434
person13,female,female,0.297146187862381
person14,female,male,0.00240429234690964
person15,male,female,0.616545772878453
person16,female,female,0.0696022112388164
person17,female,male,0.300863669253886
person18,male,male,0.994415700435638
person19,male,female,0.631333737168461
person20,male,female,0.876780874328688
person21,male,female,0.688958588754758
person22,male,female,0.665703459409997
person23,female,female,0.449402560247108
person24,female,female,0.335483179660514
person25,male,female,0.692209841916338
person26,male,male,0.555490295402706
person27,female,female,0.146770781138912
person28,female,male,0.019332786090672
person29,female,male,0.476919905748218
person30,male,female,0.518256907351315
person31,female,female,0.0602179470006377
person32,male,male,0.995165240718052
person33,male,female,0.552716344129294
person34,female,female,0.106514517217875
person35,female,female,0.369333367561921
person36,female,female,0.399062037002295
person37,male,female,0.618162569357082
person38,female,male,0.0796946696937084
person39,female,male,0.0879861395806074
