persons,prediction,reference,pred.score
person1,female,male,0.0885431715287268
person2,male,male,0.684863070724532
person3,male,male,0.721046450547874
person4,male,female,0.660316071007401
person5,male,male,0.905134253203869
person6,male,male,0.841867836425081
person7,female,female,0.396519389003515
person8,female,female,0.317679058760405
person9,male,female,0.510395984398201
person10,male,female,0.776803408749402
person11,male,female,0.961490698391572
person12,female,male,0.376946086296812
person13,female,female,0.106490929378197
person14,female,male,0.306649333564565
person15,male,female,0.785273118177429
person16,female,female,0.19893313315697
person17,male,male,0.681856071809307
person18,male,male,0.553935491945595
person19,male,female,0.830488300183788
person20,male,female,0.91600214317441
person21,male,female,0.537402551388368
person22,female,female,0.264195964904502
person23,male,female,0.671651183627546
person24,male,female,0.971956592751667
person25,female,female,0.206522283144295
person26,male,male,0.89717737166211
person27,female,female,0.20539969438687
person28,female,male,0.426990252221003
person29,female,male,0.310745787108317
person30,female,female,0.105902871582657
person31,female,female,0.438681880943477
person32,male,male,0.539858566131443
person33,male,female,0.507592748850584
person34,male,female,0.738366770558059
person35,male,female,0.630654342472553
person36,female,female,0.479457515757531
person37,female,female,0.32073658448644
person38,female,male,0.2364387572743
person39,male,male,0.690185795305297
