persons,prediction,reference,pred.score
person1,female,male,0.248465628130361
person2,male,male,0.839837374864146
person3,male,male,0.805995789822191
person4,male,female,0.809090320486575
person5,female,male,0.237694018287584
person6,female,male,0.347589911660179
person7,female,female,0.253672658000141
person8,male,female,0.931961951544508
person9,male,female,0.658916084794328
person10,male,female,0.920103995362297
person11,female,female,0.42031546565704
person12,female,male,0.356957057956606
person13,male,female,0.695222280453891
person14,male,male,0.955488624284044
person15,male,female,0.663128812564537
person16,male,female,0.589740816969424
person17,female,male,0.0645230822265148
person18,male,male,0.511261960957199
person19,male,female,0.67667255573906
person20,male,female,0.809456241549924
person21,female,female,0.0595278264954686
person22,male,female,0.803938279859722
person23,male,female,0.599690792616457
person24,female,female,0.12643601000309
person25,female,female,0.121682812925428
person26,male,male,0.538024323992431
person27,male,female,0.54245832003653
person28,female,male,0.461891316110268
person29,female,male,0.12537638633512
person30,female,female,0.206851206487045
person31,female,female,0.398066154448316
person32,female,male,0.0601420449092984
person33,male,female,0.515241530258209
person34,male,female,0.541319443844259
person35,female,female,0.444938828703016
person36,female,female,0.136683888733387
person37,female,female,0.262152034789324
person38,male,male,0.512625552015379
person39,male,male,0.802041440503672
