persons,prediction,reference,pred.score
person1,male,male,0.807018548483029
person2,male,male,0.740809247596189
person3,female,male,0.0944965328089893
person4,female,female,0.148418645840138
person5,female,male,0.444142119726166
person6,male,male,0.920627544866875
person7,female,female,0.127803329611197
person8,male,female,0.891108539421111
person9,male,female,0.867269426118582
person10,male,female,0.90257207932882
person11,male,female,0.510640445863828
person12,female,male,0.463697282597423
person13,male,female,0.907982537057251
person14,female,male,0.102669007377699
person15,male,female,0.684109007241204
person16,male,female,0.866493969690055
person17,female,male,0.0235048977192491
person18,female,male,0.0329399963375181
person19,female,female,0.35579092730768
person20,female,female,0.28061004774645
person21,female,female,0.324504365911707
person22,male,female,0.601762370206416
person23,female,female,0.080842869123444
person24,female,female,0.33106270711869
person25,male,female,0.931398683460429
person26,female,male,0.372654739534482
person27,male,female,0.783865585690364
person28,male,male,0.816867601592094
person29,male,male,0.813288301462308
person30,male,female,0.749440415063873
person31,female,female,0.260632697260007
person32,female,male,0.417145278770477
person33,female,female,0.34783944603987
person34,female,female,0.0316362243611366
person35,female,female,0.145684072049335
person36,male,female,0.887808996252716
person37,female,female,0.376730868127197
person38,female,male,0.19712333730422
person39,female,male,0.366649072850123
