persons,prediction,reference,pred.score
person1,female,male,0.270269643748179
person2,female,male,0.262257362250239
person3,female,male,0.26611507195048
person4,male,female,0.657952646492049
person5,male,male,0.664725289912894
person6,male,male,0.814441250171512
person7,male,female,0.866539691574872
person8,male,female,0.522980073234066
person9,female,female,0.0511112450622022
person10,male,female,0.910012997454032
person11,female,female,0.281610033474863
person12,female,male,0.0764709012582898
person13,male,female,0.80295911221765
person14,male,male,0.668653140310198
person15,female,female,0.19851922756061
person16,male,female,0.641956410370767
person17,male,male,0.789704215014353
person18,female,male,0.211085728602484
person19,female,female,0.339134025853127
person20,female,female,0.290731051936746
person21,male,female,0.865352026419714
person22,male,female,0.560890864348039
person23,female,female,0.353640638524666
person24,female,female,0.422212696168572
person25,female,female,0.465734201483428
person26,male,male,0.944331107195467
person27,male,female,0.896772590698674
person28,female,male,0.187887788750231
person29,male,male,0.759041065117344
person30,female,female,0.119237586390227
person31,male,female,0.751467713853344
person32,male,male,0.582725878339261
person33,female,female,0.375105667393655
person34,male,female,0.609430919634178
person35,female,female,0.44316086685285
person36,female,female,0.329438203480095
person37,female,female,0.363553337519988
person38,female,male,0.495290018152446
person39,male,male,0.748407595325261
