persons,prediction,reference,pred.score
person1,female,male,0.0661431865300983
person2,male,male,0.511219900334254
person3,male,male,0.622303780866787
person4,female,female,0.00090275751426816
person5,male,male,0.837437230860814
person6,male,male,0.972632631659508
person7,male,female,0.796910103876144
person8,female,female,0.481312691001222
person9,male,female,0.600060662953183
person10,male,female,0.804724816931412
person11,male,female,0.529187762876973
person12,female,male,0.122931188205257
person13,male,female,0.620216202922165
person14,female,male,0.370538233080879
person15,female,female,0.493017785483971
person16,female,female,0.217521094484255
person17,female,male,0.346066248603165
person18,female,male,0.195892863674089
person19,male,female,0.632826373912394
person20,male,female,0.909632361261174
person21,male,female,0.837880153441802
person22,male,female,0.776609170949087
person23,female,female,0.0234459943603724
person24,female,female,0.197315653786063
person25,male,female,0.531701407162473
person26,male,male,0.707695358432829
person27,female,female,0.0211402005515993
person28,female,male,0.445540010929108
person29,female,male,0.30315176025033
person30,female,female,0.187509609619156
person31,female,female,0.312585250707343
person32,male,male,0.789767753100023
person33,female,female,0.154615430394188
person34,female,female,0.186471588443965
person35,male,female,0.983285583090037
person36,male,female,0.693632576614618
person37,male,female,0.65334644424729
person38,female,male,0.272377728950232
person39,female,male,0.0955633670091629
