persons,prediction,reference,pred.score
person1,female,male,0.269937580451369
person2,female,male,0.134420924354345
person3,male,male,0.676766895223409
person4,female,female,0.290945845423266
person5,male,male,0.866583615075797
person6,male,male,0.600105564575642
person7,female,female,0.449887695489451
person8,female,female,0.309103996492922
person9,female,female,0.360428950283676
person10,male,female,0.828671522205696
person11,female,female,0.0114343876484782
person12,male,male,0.613402992719784
person13,female,female,0.460862365085632
person14,female,male,0.103069313568994
person15,male,female,0.909451755229384
person16,male,female,0.782998552545905
person17,female,male,0.386713885469362
person18,female,male,0.0241158371791244
person19,male,female,0.730115916579962
person20,male,female,0.786446656100452
person21,male,female,0.938732758397236
person22,female,female,0.0374767428729683
person23,male,female,0.573658592067659
person24,female,female,0.487182667478919
person25,female,female,0.0294632411096245
person26,male,male,0.596771399490535
person27,female,female,0.466239428846166
person28,female,male,0.270372200524434
person29,female,male,0.408422806998715
person30,female,female,0.42113628028892
person31,female,female,0.436845648800954
person32,female,male,0.0104759961832315
person33,male,female,0.802505389321595
person34,female,female,0.297177493106574
person35,male,female,0.745386441238225
person36,female,female,0.295670730993152
person37,female,female,0.293724880320951
person38,female,male,0.446225513704121
person39,female,male,0.319675676524639
